Latitude_y,Longitude_,richeness_sp,ID_coord_single,pland
"-24,20861667","-48,24771667",32,175,
"-24,17606667","-48,24638333",33,176,
"-24,20413333","-48,19788517",17,177,
"-22,2675","-48,173611",69,178,
"-20,091019","-48,054843",49,179,
"-24,14","-48,04",100,180,
"-22,124011","-48,032047",60,181,
"-22,08074","-48,02662",60,182,
"-21,703991","-48,016428",78,183,
"-23,91666667","-47,85",18,184,
"-22,48037778","-47,70401111",89,185,
"-22,50809167","-47,69487222",157,186,
"-22,56885833","-47,68422222",134,187,
"-22,57508333","-47,672025",117,188,
"-23,41666667","-47,63333333",145,189,
"-22,29241944","-47,61058056",135,190,
"-22,21651111","-47,60605556",139,191,
"-22,21661389","-47,5974",123,192,
"-22,47944444","-47,59305556",80,193,
"-22,34516667","-47,58026389",138,194,
"-22,416667","-47,55",118,195,
"-22,396028","-47,543972",121,196,
"-22,1445","-47,5141",122,197,
"-23,87333333","-47,49055556",24,198,
"-23,901666","-47,490277",36,199,
"-23,88583333","-47,48305556",21,200,
"-23,88527778","-47,48194444",28,201,
"-23,915","-47,481111",57,202,
"-23,87527778","-47,48083333",24,203,
"-23,87611111","-47,48027778",29,204,
"-23,91333333","-47,48",31,205,
"-23,89277778","-47,47888889",39,206,
"-23,91361111","-47,47611111",29,207,
"-23,85111111","-47,47555556",30,208,
"-23,906944","-47,473888",61,209,
"-23,9","-47,473611",45,210,
"-23,84944444","-47,47333333",25,211,
"-23,8675","-47,47166667",40,212,
"-23,91805556","-47,46944444",35,213,
"-23,90277778","-47,46555556",39,214,
"-23,84944444","-47,46166667",17,215,
"-23,88861111","-47,46027778",22,216,
"-23,85083333","-47,46027778",32,217,
"-23,919166","-47,456666",59,218,
"-23,9075","-47,45361111",22,219,
"-23,91972222","-47,45222222",26,220,
"-23,84333333","-47,45138889",29,221,
"-23,92055556","-47,45055556",32,222,
"-23,84361111","-47,44944444",23,223,
"-23,85416667","-47,44888889",27,224,
"-23,843888","-47,448888",48,225,
"-23,83333333","-47,44638889",32,226,
"-23,833611","-47,446388",52,227,
"-23,83583333","-47,445",35,228,
"-23,8675","-47,44361111",32,229,
"-23,880277","-47,439166",55,230,
"-23,88055556","-47,43583333",33,231,
"-23,87861111","-47,43361111",34,232,
"-21,854136","-47,424438",64,233,
"-23,85722222","-47,42222222",33,234,
"-23,95166667","-47,40972222",28,235,
"-23,96138889","-47,40583333",25,236,
"-23,94722222","-47,39638889",15,237,
"-23,609722","-47,385277",33,238,
"-23,618055","-47,380277",40,239,
"-23,9575","-47,37722222",17,240,
"-22,29","-47,36",70,241,
"-23,601388","-47,336388",38,242,
"-23,611666","-47,315555",43,243,
"-23,6325","-47,291666",50,244,
"-23,61","-47,272777",43,245,
"-23,588888","-47,268888",43,246,
"-24,45","-47,25",42,247,
"-23,582222","-47,244444",47,248,
"-20,77","-47,24",72,249,
"-20,76722222","-47,24",71,250,
"-23,729166","-47,115833",39,251,
"-23,715","-47,113333",40,252,
"-22,8235","-47,1088",75,253,
"-23,712777","-47,094166",54,254,
"-24,166667","-47,083333",81,255,
"-23,702222","-47,081111",56,256,
"-23,7375","-47,072777",50,257,
"-23,715833","-47,072777",46,258,
"-23,725555","-47,063055",45,259,
"-22,49","-47,06",97,260,
"-23,735833","-47,058333",48,261,
"-22,35","-46,966666",1,262,
"-23,72096","-46,96305",142,263,
"-23,55482","-46,88403",88,264,
"-23,66383","-46,835125",42,265,
"-23,04401751","-46,8238372",29,266,
"-23,04729935","-46,82350085",34,267,
"-22,89763735","-46,81905683",7,268,
"-22,89903328","-46,81859784",26,269,
"-22,91557702","-46,80354284",30,270,
"-22,91398464","-46,80301486",7,271,
"-23,02071906","-46,76899736",20,272,
"-22,78680583","-46,76775711",7,273,
"-23,01995184","-46,76734833",27,274,
"-23,07537371","-46,7533635",39,275,
"-23,07744924","-46,75186782",9,276,
"-23,09678436","-46,7411659",36,277,
"-22,96539265","-46,74098023",40,278,
"-22,96246997","-46,73904116",41,279,
"-23,0942315","-46,73845834",13,280,
"-22,95","-46,733333",141,281,
"-23,00998272","-46,7239044",12,282,
"-23,01006323","-46,72231528",35,283,
"-22,78892872","-46,71307711",40,284,
"-22,79010201","-46,71230285",48,285,
"-23,12426602","-46,68020384",7,286,
"-23,12628384","-46,67982864",57,287,
"-23,06234727","-46,59078775",43,288,
"-23,390619","-46,58926",138,289,
"-23,06295139","-46,5890869",36,290,
"-22,81236792","-46,57432809",37,291,
"-22,81185435","-46,57420528",41,292,
"-22,81193209","-46,57273516",7,293,
